E174  (Dicke 8.92%)                
   1.00000  0.00000
   0.99680  0.00043
   0.98736  0.00179
   0.97211  0.00418
   0.95145  0.00754
   0.92575  0.01173
   0.89534  0.01666
   0.86065  0.02229
   0.82218  0.02854
   0.78049  0.03528
   0.73615  0.04237
   0.68978  0.04963
   0.64200  0.05685
   0.59344  0.06377
   0.54474  0.07004
   0.49634  0.07524
   0.44855  0.07908
   0.40165  0.08140
   0.35591  0.08210
   0.31158  0.08115
   0.26886  0.07868
   0.22808  0.07491
   0.18965  0.07003
   0.15398  0.06419
   0.12140  0.05752
   0.09225  0.05016
   0.06678  0.04227
   0.04522  0.03402
   0.02772  0.02562
   0.01441  0.01730
   0.00530  0.00938
   0.00048  0.00244
   0.00084 -0.00273
   0.00695 -0.00663
   0.01857 -0.00988
   0.03553 -0.01226
   0.05776 -0.01376
   0.08512 -0.01441
   0.11738 -0.01434
   0.15425 -0.01363
   0.19532 -0.01243
   0.24017 -0.01084
   0.28827 -0.00899
   0.33905 -0.00701
   0.39193 -0.00499
   0.44624 -0.00303
   0.50133 -0.00121
   0.55650  0.00040
   0.61109  0.00176
   0.66440  0.00283
   0.71577  0.00359
   0.76456  0.00403
   0.81014  0.00417
   0.85194  0.00402
   0.88942  0.00362
   0.92208  0.00302
   0.94949  0.00229
   0.97126  0.00152
   0.98711  0.00079
   0.99676  0.00022
   1.00000  0.00000
